Mchi,dMchi,ct,alphaD,xsec(pb),mA,mA/m1,m1,m2,delta
59.8500,5.7000,100.0000,0.1,0.833087046243,119.7000,2.1000,57.0000,62.7000,0.1000
59.8500,5.7000,100.0000,aEM,0.060796926437,119.7000,2.1000,57.0000,62.7000,0.1000
59.8500,5.7000,10.0000,0.1,0.83312536406,119.7000,2.1000,57.0000,62.7000,0.1000
59.8500,5.7000,10.0000,aEM,0.15911587161,119.7000,2.1000,57.0000,62.7000,0.1000
42.0000,4.0000,10.0000,0.1,0.094042965,120.0000,3.0000,40.0000,44.0000,0.1000
59.8500,5.7000,1.0000,0.1,1.8640279619,119.7000,2.1000,57.0000,62.7000,0.1000
59.8500,5.7000,1.0000,aEM,0.4987641399,119.7000,2.1000,57.0000,62.7000,0.1000
62.7000,11.4000,100.0000,0.1,1.24324821e-06,119.7000,2.1000,57.0000,68.4000,0.2000
62.7000,11.4000,100.0000,aEM,1.24326031e-06,119.7000,2.1000,57.0000,68.4000,0.2000
62.7000,11.4000,10.0000,0.1,1.24327041e-05,119.7000,2.1000,57.0000,68.4000,0.2000
62.7000,11.4000,10.0000,aEM,1.24327473e-05,119.7000,2.1000,57.0000,68.4000,0.2000
62.7000,11.4000,1.0000,0.1,0.000124327363,119.7000,2.1000,57.0000,68.4000,0.2000
62.7000,11.4000,1.0000,aEM,0.000124342805,119.7000,2.1000,57.0000,68.4000,0.2000
6.3000,0.6000,100.0000,0.1,2.843185646,12.6000,2.1000,6.0000,6.6000,0.1000
6.3000,0.6000,100.0000,aEM,0.32940679,12.6000,2.1000,6.0000,6.6000,0.1000
6.3000,0.6000,10.0000,0.1,3.84902451,12.6000,2.1000,6.0000,6.6000,0.1000
6.3000,0.6000,10.0000,aEM,1.07546915,12.6000,2.1000,6.0000,6.6000,0.1000
6.3000,0.6000,1.0000,0.1,12.5062187,12.6000,2.1000,6.0000,6.6000,0.1000
6.3000,0.6000,1.0000,aEM,3.7790495,12.6000,2.1000,6.0000,6.6000,0.1000
6.6000,1.2000,100.0000,0.1,0.00017290397,12.6000,2.1000,6.0000,7.2000,0.2000
6.6000,1.2000,100.0000,aEM,0.00017290651,12.6000,2.1000,6.0000,7.2000,0.2000
6.6000,1.2000,10.0000,0.1,0.001729063,12.6000,2.1000,6.0000,7.2000,0.2000
6.6000,1.2000,10.0000,aEM,0.0017292329,12.6000,2.1000,6.0000,7.2000,0.2000
6.6000,1.2000,1.0000,0.1,0.017291807,12.6000,2.1000,6.0000,7.2000,0.2000
6.6000,1.2000,1.0000,aEM,0.017308128,12.6000,2.1000,6.0000,7.2000,0.2000
42.0000,4.0000,100.0000,0.1,0.009403757,120.0000,3.0000,40.0000,44.0000,0.1000
42.0000,4.0000,100.0000,aEM,0.0983570768,120.0000,3.0000,40.0000,44.0000,0.1000
42.0000,4.0000,10.0000,aEM,0.969089801,120.0000,3.0000,40.0000,44.0000,0.1000
42.0000,4.0000,1.0000,0.1,0.94104243,120.0000,3.0000,40.0000,44.0000,0.1000
